method,method2,samplingSite,vegetation,latitude,longitude,samplingID,date,plantSp,animalSp,samplingDays,samplingMeters,seedNo,year
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.994730019942,-6.44466,pbou004,2021-10-14T19:29:00Z,Pyrus bourgaeana,Cervus elaphus,29.77,NA,NA,2021
camera,camera trap,Corema album,Dune_Scrubland,36.96942003,-6.44587,calb012,2021-10-15T11:34:00Z,Corema album,Cyanopica cooki,149.14,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.994730019942,-6.44466,pbou004,2021-10-25T18:37:00Z,Pyrus bourgaeana,Sus scrofa,29.77,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.994730019942,-6.44466,pbou004,2021-10-27T13:39:00Z,Pyrus bourgaeana,Cervus elaphus,29.77,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-10-14T19:02:58Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-10-27T02:58:00Z,Pyrus bourgaeana,Sus scrofa,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-10-27T10:00:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-10-27T10:09:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-10-29T02:17:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-10-29T14:47:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-11-06T15:11:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-11-09T00:25:00Z,Pyrus bourgaeana,Sus scrofa,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-11-09T00:53:00Z,Pyrus bourgaeana,Sus scrofa,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-11-10T16:47:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Pyrus bourgaeana,Marsh-Scrubland_Ecotone,36.991810016334,-6.44587,pbou002,2021-11-10T17:21:00Z,Pyrus bourgaeana,Cervus elaphus,149.89,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-15T12:35:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-15T14:26:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-15T19:31:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-15T20:09:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-15T20:17:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-16T14:12:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Corema album,Dune_Scrubland,36.96900998,-6.44586,calb010,2021-08-05T22:11:00Z,Corema album,Sus scrofa,96.65,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-17T11:28:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-17T15:34:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-17T16:42:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-18T18:13:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-18T20:03:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-18T20:31:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-19T15:35:00Z,Asparagus spp,Curruca undata,23.3,NA,NA,2021
camera,camera trap,Asparagus spp,Tall_open_Scrubland,36.989559978247,-6.4743,aspa003,2021-12-21T12:44:00Z,Asparagus spp,Curruca melanocephala,23.3,NA,NA,2021
camera,camera trap,Juniperus macrocarpa,Dune_Scrubland,36.829226994887,-6.40381,joxy001,2021-12-16T20:27:00Z,Juniperus macrocarpa,Cervus elaphus,226.01,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Low_Scrubland,36.980870040134,-6.48389,rulm021,2021-09-30T06:55:00Z,Rubus ulmifolius,Rattus rattus,26.98,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Marsh-Scrubland_Ecotone,36.992500014603,-6.44237,rulm016,2021-08-23T22:25:00Z,Rubus ulmifolius,Rattus rattus,92.84,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Marsh-Scrubland_Ecotone,36.992500014603,-6.44237,rulm016,2021-08-23T22:26:00Z,Rubus ulmifolius,Rattus rattus,92.84,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Marsh-Scrubland_Ecotone,36.992500014603,-6.44237,rulm016,2021-08-25T14:42:00Z,Rubus ulmifolius,Saxicola rubicola,92.84,NA,NA,2021
camera,camera trap,Juniperus macrocarpa,Dune_Scrubland,36.829226994887,-6.40381,joxy001,2020-01-08T10:39:00Z,Juniperus macrocarpa,Cervus elaphus,226.01,NA,NA,2020
camera,camera trap,Juniperus macrocarpa,Dune_Scrubland,36.829226994887,-6.40381,joxy001,2020-01-08T10:39:00Z,Juniperus macrocarpa,Cervus elaphus,226.01,NA,NA,2020
camera,camera trap,Rubus ulmifolius,Pistacia-dominated_Scrubland,36.960089961067,-6.45203,rulm005,2021-08-27T03:13:00Z,Rubus ulmifolius,Apodemus/Mus,111.86,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Low_Scrubland,36.980870040134,-6.48389,rulm021,2021-09-29T08:39:00Z,Rubus ulmifolius,Cervus elaphus,26.98,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Marsh-Scrubland_Ecotone,36.992500014603,-6.44237,rulm016,2021-09-03T07:35:00Z,Rubus ulmifolius,Rattus rattus,92.84,NA,NA,2021
camera,camera trap,Rubus ulmifolius,Low_Scrubland,36.980870040134,-6.48389,rulm021,2021-09-30T12:10:00Z,Rubus ulmifolius,Cervus elaphus,26.98,NA,NA,2021
camera,camera trap,Juniperus macrocarpa,Dune_Scrubland,36.829226994887,-6.40381,joxy001,2020-01-16T04:50:56Z,Juniperus macrocarpa,Cervus elaphus,226.01,NA,NA,2020
camera,camera trap,Juniperus macrocarpa,Dune_Scrubland,36.829226994887,-6.40381,joxy001,2020-01-16T04:53:50Z,Juniperus macrocarpa,Cervus elaphus,226.01,NA,NA,2020
camera,camera trap,Olea europaea,Marsh-Scrubland_Ecotone,37.023290013894,-6.44453,oeur001,2021-11-11T16:11:00Z,Olea europaea,Turdus merula,176.05,NA,NA,2021
