animalSp,plantSp,total.int,vegetation
Sylvia atricapilla,Asparagus acutifolius,2,Pistacia-dominated_Scrubland
Curruca melanocephala,Asparagus acutifolius,1,Pistacia-dominated_Scrubland
Cyanopica cooki,Crataegus monogyna,8,Pistacia-dominated_Scrubland
Sylvia atricapilla,Crataegus monogyna,1,Pistacia-dominated_Scrubland
Turdus merula,Crataegus monogyna,5,Pistacia-dominated_Scrubland
Turdus philomelos,Crataegus monogyna,3,Pistacia-dominated_Scrubland
Parus major,Daphne gnidium,1,Pistacia-dominated_Scrubland
Sylvia atricapilla,Daphne gnidium,1,Pistacia-dominated_Scrubland
Sylvia borin,Daphne gnidium,3,Pistacia-dominated_Scrubland
Curruca melanocephala,Daphne gnidium,4,Pistacia-dominated_Scrubland
Turdus merula,Lonicera periclymenum,2,Pistacia-dominated_Scrubland
Cyanopica cooki,Myrtus communis,14,Pistacia-dominated_Scrubland
Sylvia atricapilla,Myrtus communis,21,Pistacia-dominated_Scrubland
Turdus merula,Myrtus communis,4,Pistacia-dominated_Scrubland
Turdus philomelos,Myrtus communis,5,Pistacia-dominated_Scrubland
Alectoris rufa,Olea europaea,2,Pistacia-dominated_Scrubland
Chloris chloris,Olea europaea,23,Pistacia-dominated_Scrubland
Coccothraustes coccothraustes,Olea europaea,3,Pistacia-dominated_Scrubland
Columba palumbus,Olea europaea,18,Pistacia-dominated_Scrubland
Corvus monedula,Olea europaea,3,Pistacia-dominated_Scrubland
Cyanopica cooki,Olea europaea,42,Pistacia-dominated_Scrubland
Erithacus rubecula,Olea europaea,2,Pistacia-dominated_Scrubland
Fringilla coelebs,Olea europaea,3,Pistacia-dominated_Scrubland
Sturnus unicolor,Olea europaea,5,Pistacia-dominated_Scrubland
Sylvia atricapilla,Olea europaea,107,Pistacia-dominated_Scrubland
Curruca melanocephala,Olea europaea,1,Pistacia-dominated_Scrubland
Turdus iliacus,Olea europaea,14,Pistacia-dominated_Scrubland
Turdus merula,Olea europaea,53,Pistacia-dominated_Scrubland
Turdus philomelos,Olea europaea,96,Pistacia-dominated_Scrubland
Turdus viscivorus,Olea europaea,1,Pistacia-dominated_Scrubland
Turdus merula,Osyris alba,5,Pistacia-dominated_Scrubland
Saxicola rubetra,Phillyrea angustifolia,1,Pistacia-dominated_Scrubland
Sylvia borin,Phillyrea angustifolia,2,Pistacia-dominated_Scrubland
Curruca communis,Phillyrea angustifolia,1,Pistacia-dominated_Scrubland
Curruca melanocephala,Phillyrea angustifolia,7,Pistacia-dominated_Scrubland
Turdus merula,Phillyrea angustifolia,3,Pistacia-dominated_Scrubland
Alectoris rufa,Pistacia lentiscus,6,Pistacia-dominated_Scrubland
Chloris chloris,Pistacia lentiscus,224,Pistacia-dominated_Scrubland
Columba palumbus,Pistacia lentiscus,35,Pistacia-dominated_Scrubland
Cyanopica cooki,Pistacia lentiscus,137,Pistacia-dominated_Scrubland
Emberiza calandra,Pistacia lentiscus,21,Pistacia-dominated_Scrubland
