plantSp,animalSp,total.int,vegetation
Juniperus phoenicea,Turdus iliacus,77,Juniper_Forest
Osyris lanceolata,Turdus iliacus,1,Juniper_Forest
Corema album,Turdus merula,1,Juniper_Forest
Juniperus phoenicea,Turdus merula,68,Juniper_Forest
Osyris lanceolata,Turdus merula,3,Juniper_Forest
Phillyrea angustifolia,Turdus merula,3,Juniper_Forest
Rhamnus lycioides,Turdus merula,1,Juniper_Forest
Juniperus phoenicea,Turdus philomelos,267,Juniper_Forest
Osyris lanceolata,Turdus philomelos,10,Juniper_Forest
Juniperus phoenicea,Turdus pilaris,2,Juniper_Forest
Juniperus phoenicea,Turdus torquatus,1,Juniper_Forest
Juniperus phoenicea,Turdus viscivorus,5,Juniper_Forest
