method,method2,samplingSite,vegetation,latitude,longitude,samplingID,date,plantSp,animalSp,samplingDays,samplingMeters,seedNo,year
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2012-09-25T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,37,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702403139,-643873109,ER044H,2012-09-25T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702380659,-644371036,ER067,2012-09-26T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,16,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702396166,-644306662,ER090H,2012-09-26T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702304367,-643986893,ER007H,2012-09-28T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,2,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2012-09-28T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,8,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702445275,-643926401,ER052X'H,2012-09-28T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,9,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702380659,-644371036,ER067,2012-09-28T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702380659,-644371036,ER067,2012-09-28T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702482692,-644219826,ER085H-X,2012-09-28T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,36,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2012-09-29T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702442191,-64424011,ER080H,2012-09-29T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,3,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2012-10-01T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,3,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702403139,-643873109,ER044H,2012-10-01T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,2,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702445275,-643926401,ER052X'H,2012-10-02T00:00:00Z,Chamaerops humilis,Oryctolagus cuniculus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702380659,-644371036,ER067,2012-10-02T00:00:00Z,Chamaerops humilis,Meles meles,10,NA,9,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702380659,-644371036,ER067,2012-10-02T00:00:00Z,Chamaerops humilis,Meles meles,10,NA,5,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2012-10-03T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702445275,-643926401,ER052X'H,2012-10-03T00:00:00Z,Chamaerops humilis,Oryctolagus cuniculus,10,NA,4,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702380659,-644371036,ER067,2012-10-04T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702304367,-643986893,ER007H,2012-10-05T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2012-10-05T00:00:00Z,Chamaerops humilis,Cervus elaphus,10,NA,29,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702442191,-64424011,ER080H,2012-10-05T00:00:00Z,Chamaerops humilis,Oryctolagus cuniculus,10,NA,1,2012
tracks,seed-focalPlant,Chamaerops humilis,Marsh-Scrubland_Ecotone,3702332488,-643814125,ER036H,2013-10-02T00:00:00Z,Chamaerops humilis,Meles meles,10,NA,10,2013
