plantSp,animalSp,method,total.int,PIE
Arbutus unedo,Alectoris rufa,CAM,3,2.8571e-4
Arbutus unedo,Apodemus/Mus,CAM,2,1.9048e-4
Arbutus unedo,Carduelis carduelis,CAM,1,9.524e-5
Arbutus unedo,Cervus elaphus,CAM,276,0.02628571
Arbutus unedo,Columba palumbus,CAM,4,3.8095e-4
Arbutus unedo,Curruca melanocephala,CAM,5,4.7619e-4
Arbutus unedo,Cyanopica cooki,CAM,8,7.619e-4
Arbutus unedo,Erithacus rubecula,CAM,34,0.0032381
Arbutus unedo,Fringilla coelebs,CAM,59,0.0056190500000000004
Arbutus unedo,Galerida cristata,CAM,1,9.524e-5
Arbutus unedo,Genetta genetta,CAM,118,0.011238100000000001
Arbutus unedo,Herpestes ichneumon,CAM,3,2.8571e-4
Arbutus unedo,Meles meles,CAM,62,0.00590476
Arbutus unedo,Oryctolagus cuniculus,CAM,2,1.9048e-4
Arbutus unedo,Rattus rattus,CAM,2,1.9048e-4
Arbutus unedo,Sus scrofa,CAM,186,0.01771429
Arbutus unedo,Sylvia atricapilla,CAM,9,8.5714e-4
Arbutus unedo,Turdus iliacus,CAM,1,9.524e-5
Arbutus unedo,Turdus merula,CAM,1072,0.10209524
Arbutus unedo,Turdus philomelos,CAM,86,0.00819048
Arbutus unedo,Turdus pilaris,CAM,7,6.6667e-4
Arbutus unedo,Turdus torquatus,CAM,2,1.9048e-4
Arbutus unedo,Turdus viscivorus,CAM,2,1.9048e-4
Arbutus unedo,Vulpes vulpes,CAM,284,0.02704762
Asparagus spp,Alectoris rufa,CAM,3,2.8571e-4
Asparagus spp,Bos taurus,CAM,3,2.8571e-4
Asparagus spp,Cervus elaphus,CAM,100,0.00952381
Asparagus spp,Curruca communis,CAM,45,0.00428571
Asparagus spp,Curruca melanocephala,CAM,522,0.04971429
Asparagus spp,Curruca undata,CAM,25,0.00238095
Asparagus spp,Erithacus rubecula,CAM,7,6.6667e-4
Asparagus spp,Oryctolagus cuniculus,CAM,48,0.00457143
Asparagus spp,Phoenicurus phoenicurus,CAM,2,1.9048e-4
Asparagus spp,Saxicola rubicola,CAM,4,3.8095e-4
Asparagus spp,Sus scrofa,CAM,2,1.9048e-4
Asparagus spp,Sylvia atricapilla,CAM,15,0.00142857
Asparagus spp,Vulpes vulpes,CAM,1,9.524e-5
Chamaerops humilis,Apodemus/Mus,TRACK,19,0.00180952
Chamaerops humilis,Cervus elaphus,TRACK,37,0.00352381
Chamaerops humilis,Meles meles,TRACK,9,8.5714e-4
Chamaerops humilis,Oryctolagus cuniculus,TRACK,23,0.00219048
Chamaerops humilis,Sus scrofa,TRACK,10,9.5238e-4
Corema album,Alectoris rufa,CAM,164,0.01561905
Corema album,Apodemus/Mus,CAM,2,1.9048e-4
Corema album,Bos taurus,CAM,7,6.6667e-4
Corema album,Cervus elaphus,CAM,1,9.524e-5
Corema album,Cyanopica cooki,CAM,99,0.00942857
Corema album,Dama dama,CAM,3,2.8571e-4
Corema album,Equus caballus,CAM,1,9.524e-5
Corema album,Galerida cristata,CAM,1,9.524e-5
Corema album,Lanius senator,CAM,1,9.524e-5
Corema album,Lepus granatensis,CAM,4,3.8095e-4
Corema album,Meles meles,CAM,9,8.5714e-4
Corema album,Oryctolagus cuniculus,CAM,104,0.00990476
Corema album,Phoenicurus phoenicurus,CAM,3,2.8571e-4
Corema album,Saxicola rubicola,CAM,6,5.7143e-4
Corema album,Sturnus unicolor,CAM,4,3.8095e-4
Corema album,Sus scrofa,CAM,233,0.02219048
Corema album,Turdus merula,CAM,12,0.00114286
Corema album,Vulpes vulpes,CAM,2,1.9048e-4
Juniperus macrocarpa,Cervus elaphus,CAM,156,0.01485714
Juniperus macrocarpa,Curruca melanocephala,CAM,1,9.524e-5
Juniperus macrocarpa,Curruca undata,CAM,1,9.524e-5
Juniperus macrocarpa,Dama dama,CAM,2,1.9048e-4
Juniperus macrocarpa,Meles meles,CAM,6,5.7143e-4
Juniperus macrocarpa,Oryctolagus cuniculus,CAM,9,8.5714e-4
Juniperus macrocarpa,Sus scrofa,CAM,57,0.00542857
Juniperus macrocarpa,Turdus merula,CAM,5,4.7619e-4
Juniperus macrocarpa,Vulpes vulpes,CAM,33,0.00314286
Juniperus phoenicea,Anthus pratensis,CAM,1,9.524e-5
Juniperus phoenicea,Apodemus/Mus,CAM,3,2.8571e-4
Juniperus phoenicea,Cervus elaphus,CAM,23,0.00219048
Juniperus phoenicea,Chloris chloris,CAM,66,0.00628571
Juniperus phoenicea,Curruca melanocephala,CAM,2,1.9048e-4
Juniperus phoenicea,Cyanopica cooki,CAM,2,1.9048e-4
Juniperus phoenicea,Erithacus rubecula,CAM,14,0.00133333
Juniperus phoenicea,Galerida cristata,CAM,2,1.9048e-4
Juniperus phoenicea,Herpestes ichneumon,CAM,1,9.524e-5
Juniperus phoenicea,Lanius meridionalis,CAM,1,9.524e-5
Juniperus phoenicea,Oryctolagus cuniculus,CAM,174,0.01657143
Juniperus phoenicea,Sus scrofa,CAM,1,9.524e-5
Juniperus phoenicea,Turdus merula,CAM,18,0.00171429
Juniperus phoenicea,Turdus philomelos,CAM,94,0.00895238
Juniperus phoenicea,Turdus torquatus,CAM,1,9.524e-5
Juniperus phoenicea,Vulpes vulpes,CAM,26,0.00247619
Myrtus communis,Apodemus/Mus,CAM,35,0.00333333
Myrtus communis,Chloris chloris,CAM,11,0.00104762
Myrtus communis,Curruca melanocephala,CAM,9,8.5714e-4
Myrtus communis,Erithacus rubecula,CAM,32,0.00304762
Myrtus communis,Rattus rattus,CAM,11,0.00104762
Myrtus communis,Saxicola rubicola,CAM,1,9.524e-5
Myrtus communis,Sylvia atricapilla,CAM,44,0.00419048
Myrtus communis,Turdus iliacus,CAM,9,8.5714e-4
Myrtus communis,Turdus merula,CAM,76,0.0072381
Myrtus communis,Turdus philomelos,CAM,24,0.00228571
Myrtus communis,Turdus torquatus,CAM,1,9.524e-5
Myrtus communis,Turdus viscivorus,CAM,4,3.8095e-4
Olea europaea,Alectoris rufa,CAM,1,9.524e-5
