plantSp,animalSp,meanPIE,maxPIE,n_methods
Pistacia lentiscus,Sylvia atricapilla,0.06460426168916705,0.11455788746506777,4
Juniperus phoenicea,Turdus philomelos,0.09276959267965049,0.10345498154875565,3
Pistacia lentiscus,Erithacus rubecula,0.03981425967564212,0.05446746272123129,4
Pistacia lentiscus,Curruca melanocephala,0.04954607560947552,0.04461525419080976,4
Arbutus unedo,Turdus merula,0.060547630398040196,0.03461950872328356,1
Phillyrea angustifolia,Sylvia atricapilla,0.03009480884417589,0.03072531058970388,2
Juniperus phoenicea,Turdus iliacus,0.0264226106613205,0.029835330716105297,2
Juniperus phoenicea,Turdus merula,0.018161779329809287,0.026348085061447007,3
Rubus ulmifolius,Curruca communis,0.01163524701074093,0.02480203660636782,4
Olea europaea,Cervus elaphus,0.01743341846058897,0.019861005584787227,2
Pistacia lentiscus,Sylvia borin,0.009522730058986208,0.019235200815346763,4
Pistacia lentiscus,Chloris chloris,0.018017407122602577,0.01876043027022898,3
Rubus ulmifolius,Curruca melanocephala,0.008965422737763882,0.01802022998672844,4
Asparagus spp,Curruca melanocephala,0.02110552768587337,0.01786295650031569,3
Pyrus bourgaeana,Vulpes vulpes,0.02129333490974053,0.012174956952228162,1
Rubus ulmifolius,Apodemus/Mus,0.020502602922249057,0.011722837641219971,1
Pistacia lentiscus,Cyanopica cooki,0.00614276342732692,0.011474013156345404,4
Olea europaea,Sylvia atricapilla,0.008953947211106596,0.009566721598961192,4
Pistacia lentiscus,Turdus philomelos,0.0050975119682329815,0.009463967055963727,4
Arbutus unedo,Vulpes vulpes,0.01604060384114519,0.009171586418074524,1
Pistacia lentiscus,Turdus merula,0.010022790218026212,0.009151105362083212,4
Arbutus unedo,Cervus elaphus,0.007813932216892873,0.008913230103996053,2
Olea europaea,Sus scrofa,0.015249871853653717,0.008719467107066335,1
Rubia peregrina,Sylvia atricapilla,0.006098563375555987,0.008565940568810939,3
Juniperus phoenicea,Erithacus rubecula,0.007805232166450372,0.008473524890005113,2
Olea europaea,Turdus philomelos,0.005426477065741866,0.008040184401526705,4
Corema album,Sus scrofa,0.013160074665528999,0.007524577207848763,1
Rhamnus lycioides,Curruca melanocephala,0.0077054217718032746,0.0070867810724212525,3
Phillyrea angustifolia,Sylvia borin,0.004286800110297893,0.006592160179327784,3
Rubus ulmifolius,Rattus rattus,0.005786221482812154,0.006523453696464218,2
Pyrus bourgaeana,Cervus elaphus,0.011070277477404284,0.0063296873086311906,1
Arbutus unedo,Sus scrofa,0.010505468067695414,0.006006744459210583,1
Juniperus phoenicea,Oryctolagus cuniculus,0.005128949573819689,0.005619211683544531,2
Pyrus bourgaeana,Cyanopica cooki,0.004929963348531865,0.005443874855200373,2
Corema album,Alectoris rufa,0.0047096628892356225,0.0052962688341239225,2
Myrtus communis,Turdus merula,0.003765858644094938,0.005220261736434314,4
Juniperus macrocarpa,Cervus elaphus,0.008811033908064068,0.005037912520045451,1
Smilax aspera,Sylvia atricapilla,0.00363731495401913,0.004940942858094537,4
Pyrus bourgaeana,Sus scrofa,0.008472147076137799,0.004844146132212424,1
Myrtus communis,Sylvia atricapilla,0.004218664541426799,0.004827707032966418,4
Frangula alnus,Sturnus vulgaris/unicolor,0.008400678563607069,0.004803282356425786,1
Daphne gnidium,Sylvia borin,0.002946535693288334,0.00473590510765967,3
Olea europaea,Turdus merula,0.0033668127721627177,0.004438851805009535,4
Daphne gnidium,Sylvia atricapilla,0.003002217202221287,0.0043299766815378445,3
Rhamnus lycioides,Sylvia borin,0.0038840713949268215,0.004234994088926486,2
Osyris lanceolata,Sylvia atricapilla,0.0049697570352865905,0.004068432918348142,2
Asparagus spp,Erithacus rubecula,0.003651743872033176,0.003949873375023606,2
Pistacia lentiscus,Sturnus unicolor,0.0038102247499983803,0.003936340279914116,3
Osyris lanceolata,Turdus philomelos,0.0038150936943837205,0.003874717394064763,2
Arbutus unedo,Genetta genetta,0.006664760523372251,0.0038107310486084657,1
Asparagus spp,Sylvia atricapilla,0.003131792800120541,0.0037760115896192216,3
Pistacia lentiscus,Ficedula hypoleuca,0.0019911966164430374,0.0037321468644033943,4
Rubus ulmifolius,Sylvia atricapilla,0.0030675595033633975,0.0036359198102773314,3
Rubus ulmifolius,Cervus elaphus,0.003157673522772943,0.0035846696976527164,2
Olea europaea,Cyanopica cooki,0.0031151399428318268,0.0035175806756679337,2
Frangula alnus,Turdus merula,0.005953372758696198,0.0034039786329823547,1
Rubia peregrina,Curruca melanocephala,0.0019159978164355984,0.0033766106523688,4
Corema album,Oryctolagus cuniculus,0.005874022605376045,0.003358608346696967,1
Phillyrea angustifolia,Curruca melanocephala,0.0037820192694908586,0.0032781083021218476,3
Asparagus spp,Cervus elaphus,0.005648100027593444,0.003229431885109386,1
